ALAND10	AWATER10	CD12_DEM	CD12_REP	CD_2000	CD_BD	CD_FV	CD_NOW	COUNTYFP10	COUNTY_NAM	CTYFP_FUL	FUNCSTAT10	GEOID10	INTPTLAT10	INTPTLON10	LSAD10	MTFCC10	NAME10	NAMELSAD10	POPULATION	POP_ASIAN	POP_BLACK	POP_HAWAII	POP_HISPAN	POP_INDIAN	POP_MULTI	POP_OTHER	POP_TOTAL	POP_WHITE	PRES04_DEM	PRES04_REP	PRES08_DEM	PRES08_REP	PRES12_D50	PRES12_DEM	PRES12_R50	PRES12_REP	SLDL_BD	SLDL_NOW	SLDU_BD	SLDU_NOW	STATEFP10	VAP_ASIAN	VAP_BLACK	VAP_HAWAII	VAP_HISPAN	VAP_INDIAN	VAP_MULTI	VAP_OTHER	VAP_TOT	VAP_TOTAL	VAP_WHITE	VTDI10	VTDNAME	VTDST10
3080371	196808	1148.655615617214	483.6543768316496	5	0	3	5	17	Middlesex County	25017	N	250173175	42.6523632	-71.3672133	0	G5240	Lowell Ward 6 Precinct 3	Lowell Ward 6 Precinct 3	3493.0	8073.0	1495.0	0.0	5317.0	26.0	897.0	65.0	45409.0	29536.0	795.7999128	477.2808621	903.0	470.0	958.3022222314178	995.9417321	500.98293626101974	481.3056865	43	0	35	0	25	6071.0	923.0	0.0	3198.0	13.0	559.0	13.0	2748.335907816258	35373.0	24596.0	A	Lowell Ward 6 Precinct 3	3175
10738439	218757	1082.5577688553874	455.8231344202091	7	0	1	7	17	Middlesex County	25017	N	250173264	42.2628244	-71.3298351	0	G5240	Natick Precinct 10	Natick Precinct 10	3292.0	2080.0	234.0	13.0	832.0	26.0	624.0	195.0	42796.0	38792.0	1250.668069	785.4545455	1315.0	792.0	1296.252678609924	1347.165965	925.4850873981878	889.1345455	46	0	17	0	25	1560.0	195.0	13.0	533.0	26.0	234.0	78.0	2590.1866042173265	32058.0	29419.0	A	Natick Precinct 10	3264
2018854	613222	991.796546436163	417.6071000642013	7	0	3	7	17	Middlesex County	25017	N	250173258	42.290468	-71.3598514	0	G5240	Natick Precinct 4	Natick Precinct 4	3016.0	2262.0	871.0	13.0	1521.0	13.0	767.0	260.0	39208.0	33501.0	986.2682799	460.1652893	1037.0	464.0	1022.2159908031344	1062.36586	542.2033844690226	520.9071074	82	0	17	0	25	1612.0	728.0	13.0	1001.0	0.0	403.0	195.0	2373.026366439689	30537.0	26585.0	A	Natick Precinct 4	3258
857129	5072	832.9644072025202	350.72903994118764	4	4	1	4	17	Middlesex County	25017	N	250173275	42.3613337	-71.2230258	0	G5240	Newton Ward 3 Precinct 4	Newton Ward 3 Precinct 4	2533.0	3601.0	1196.0	0.0	1768.0	78.0	650.0	65.0	32929.0	25571.0	915.891277	375.3403676	953.0	385.0	882.321630034914	916.9768285	473.65493516285954	455.0510551	53	0	5	0	25	2626.0	871.0	0.0	1105.0	39.0	325.0	52.0	1992.9959503288237	25675.0	20657.0	A	Newton Ward 3 Precinct 4	3275
1486868	171034	869.4662031754691	366.0985320191473	4	4	1	4	17	Middlesex County	25017	N	250173276	42.348976	-71.2529264	0	G5240	Newton Ward 4 Precinct 1	Newton Ward 4 Precinct 1	2644.0	4563.0	507.0	0.0	1092.0	13.0	715.0	117.0	34372.0	27365.0	970.6717626	375.3403676	1010.0	385.0	935.09427740364	971.8222422	473.65493516285954	455.0510551	4	0	5	0	25	3107.0	364.0	0.0	702.0	13.0	364.0	52.0	2080.332132913308	26273.0	21671.0	A	Newton Ward 4 Precinct 1	3276
1335485	8454	1099.6577093111832	463.0232568351091	4	4	1	4	17	Middlesex County	25017	N	250173278	42.3399307	-71.24057	0	G5240	Newton Ward 4 Precinct 3	Newton Ward 4 Precinct 3	3344.0	3913.0	1599.0	0.0	1807.0	39.0	988.0	117.0	43472.0	35009.0	1020.646942	288.5733735	1062.0	296.0	983.2377454689683	1021.856655	364.16067745473373	349.8574346	4	0	5	0	25	2912.0	1469.0	0.0	1274.0	39.0	481.0	91.0	2631.1008519145626	36803.0	30537.0	A	Newton Ward 4 Precinct 3	3278
1258112	2045	903.0083940695304	380.2218490637589	4	4	1	4	17	Middlesex County	25017	N	250173279	42.3538992	-71.2417424	0	G5240	Newton Ward 4 Precinct 4	Newton Ward 4 Precinct 4	2746.0	4537.0	1183.0	0.0	2080.0	39.0	780.0	104.0	35698.0	26975.0	853.4223022	394.8385685	888.0	405.0	822.1422953381365	854.4338129	498.260386392871	478.690071	4	0	5	0	25	3354.0	923.0	0.0	1326.0	39.0	260.0	78.0	2160.5870033963483	27287.0	21307.0	A	Newton Ward 4 Precinct 4	3279
794253	31164	1239.4168380364383	521.8704111876574	8	4	2	8	17	Middlesex County	25017	N	250173061	42.3951479	-71.1474439	0	G5240	Cambridge Ward 11 Precinct 1	Cambridge Ward 11 Precinct 1	3769.0	13611.0	20527.0	65.0	5772.0	169.0	1716.0	351.0	48997.0	6786.0	967.4716704	65.91526506	1102.0	58.0	1128.8097618378388	1173.146345	70.38381674692188	67.61933149	107	0	1	0	25	10868.0	14534.0	65.0	4069.0	91.0	1261.0	286.0	2965.496145593895	37154.0	5980.0	A	Cambridge Ward 11 Precinct 1	3061
534822	12883	965.4889457349385	406.5299886566628	8	4	2	8	17	Middlesex County	25017	N	250173062	42.3942896	-71.1314235	0	G5240	Cambridge Ward 11 Precinct 2	Cambridge Ward 11 Precinct 2	2936.0	3367.0	2795.0	0.0	1612.0	39.0	1482.0	182.0	38168.0	28691.0	1329.176142	294.3457526	1514.0	259.0	1550.8330121940862	1611.745523	314.30014717754125	301.9552906	107	0	1	0	25	2821.0	2119.0	0.0	1144.0	39.0	962.0	117.0	2310.081369982403	32409.0	25207.0	A	Cambridge Ward 11 Precinct 2	3062
419253	0	912.5448993237242	384.23730194899156	8	4	2	8	17	Middlesex County	25017	N	250173049	42.3820524	-71.1142114	0	G5240	Cambridge Ward 7 Precinct 1	Cambridge Ward 7 Precinct 1	2775.0	3367.0	1625.0	13.0	1924.0	0.0	1079.0	130.0	36075.0	27937.0	1281.768275	127.2846498	1460.0	112.0	1495.5192852336716	1554.259223	135.91357715785566	130.5752608	93	0	32	0	25	3133.0	1287.0	13.0	1508.0	0.0	507.0	104.0	2183.4045646121144	31850.0	25298.0	A	Cambridge Ward 7 Precinct 1	3049
